time,avg_washers,avg_dryers
00:10:00,2.2222222222222223,2
00:15:00,1.875,2.375
00:20:00,2.125,2.375
00:55:00,3.5,2.75
01:00:00,3.5555555555555554,2.6666666666666665
01:05:00,3.625,2.75
01:10:00,3.625,2.75
01:15:00,3.5,2.625
01:20:00,3.5,2.625
01:30:00,3.375,2.75
01:35:00,3.625,2.625
01:40:00,3.75,2.625
01:45:00,3.7777777777777777,2.6666666666666665
01:50:00,3.625,2.625
01:55:00,3.625,2.75
02:00:00,3.75,2.75
02:05:00,3.75,2.75
02:10:00,3.75,2.75
02:15:00,3.75,2.875
02:25:00,3.75,3
02:30:00,3.75,2.875
02:35:00,3.75,2.875
02:40:00,3.75,2.875
02:45:00,3.875,2.875
02:50:00,4,2.875
02:55:00,4,2.875
03:00:00,4,2.875
03:10:00,4,2.888888888888889
03:15:00,4,2.875
03:20:00,4,2.875
03:30:00,4,2.875
03:40:00,4,2.875
03:50:00,4,3
03:55:00,4,3
04:05:00,4,3
04:15:00,4,3
04:20:00,4,3
04:25:00,4,3
04:30:00,4,3
04:35:00,4,3
04:40:00,4,3
04:45:00,4,3
04:50:00,4,3
04:55:00,4,3
05:00:00,4,3
05:05:00,4,3
05:10:00,4,3
05:15:00,4,3
05:20:00,4,3
05:25:00,4,3
05:30:00,4,3
05:35:00,4,3
05:40:00,4,3
05:45:00,4,3
05:50:00,4,3
05:55:00,4,3
06:00:00,4,3
06:05:00,4,3
06:10:00,4,3
06:15:00,3.75,3
06:20:00,3.25,3
06:25:00,3.25,3
06:30:00,3.125,3
06:35:00,3,3
06:40:00,3,3
06:45:00,3,3
06:50:00,3,3
06:55:00,3.375,3
07:00:00,3.375,3
07:05:00,3.625,3
07:10:00,3.375,3
07:15:00,3,3
07:20:00,3.25,3
07:25:00,3.25,2.875
07:30:00,3,2.875
07:35:00,3,2.875
07:40:00,3,2.875
07:45:00,3.125,2.875
07:50:00,3.125,2.875
07:55:00,3.125,2.875
08:00:00,3.25,2.625
08:05:00,3.5,2.75
08:10:00,3.125,2.75
08:15:00,2.125,2.625
08:20:00,2.5,2.625
08:25:00,2.375,2.625
08:30:00,2.375,2.625
08:35:00,2.25,2.5
08:40:00,2.25,2.5
08:45:00,2.25,2.5
08:50:00,2.375,2.5
08:55:00,2.25,2.5
09:00:00,2.375,2.5
09:05:00,2.375,2.5
09:10:00,1.5,2.5
09:15:00,0.625,2.5
09:20:00,0.75,2.875
09:25:00,0.75,2.875
09:30:00,0.625,2.875
09:35:00,0.625,2.875
09:40:00,0.75,2.875
09:45:00,1.125,2.875
09:50:00,1.25,2.875
09:55:00,1.625,2.875
10:00:00,1.375,2.5
10:05:00,1.375,2.5
10:10:00,0.875,2.5
10:15:00,0.375,2.25
10:20:00,0.625,2.25
10:25:00,0.5,2.25
10:30:00,0.375,2.125
10:35:00,0.375,2.125
10:40:00,0.375,2.375
10:45:00,0.625,2.25
10:50:00,0.25,2.25
10:55:00,0.5,2.5
11:00:00,0.875,2.25
11:05:00,0.75,2.25
11:10:00,0.625,2.25
11:15:00,0.125,2.25
11:20:00,0.5,2.25
11:25:00,0.375,2.375
11:30:00,0.625,2.375
11:35:00,0.5,2.375
11:40:00,0.375,2.5
11:45:00,0.25,2.5
11:50:00,0.25,2.125
11:55:00,0.5,2.125
12:00:00,0.625,2
12:05:00,0.625,2
12:10:00,0.875,1.875
12:15:00,0.125,1.625
12:20:00,0.375,1.75
12:25:00,0.125,1.625
12:30:00,0.125,1.5
12:35:00,0.125,1.625
12:40:00,0.125,1.75
12:45:00,0.125,1.625
12:50:00,0.125,1.75
12:55:00,0.25,2
13:00:00,1.5,2.125
13:05:00,1.125,1.875
13:10:00,0.5,1.875
13:15:00,0.125,1.5
13:20:00,0.25,1.75
13:25:00,0.375,1.75
13:30:00,0.375,1.75
13:35:00,0.125,1.625
13:40:00,0.25,1.625
13:45:00,1,2
13:50:00,1.125,2.125
13:55:00,1,2.5
14:00:00,1,2.375
14:05:00,0.875,2.25
14:10:00,0.5,2.125
14:15:00,0,2.125
14:20:00,0.375,2.125
14:25:00,0.25,2
14:30:00,0.5,2
14:35:00,0.375,2
14:40:00,0.375,2.125
14:45:00,0.5,2.125
14:50:00,0.375,2.125
14:55:00,0.25,2.125
15:00:00,0.75,2.375
15:05:00,0.625,2.375
15:10:00,0.375,2.25
15:15:00,0,2.125
15:20:00,0.25,2.25
15:25:00,0.125,2
15:30:00,0.125,2.125
15:35:00,0,2.125
15:40:00,0.125,2.125
15:45:00,0.125,2.25
15:50:00,0.125,2.125
15:55:00,0.125,2
16:00:00,0.75,2
16:05:00,0.875,2
16:10:00,0.625,1.875
16:15:00,0.25,1.75
16:20:00,0.5,1.75
16:25:00,0.375,1.75
16:40:00,0.75,2.125
16:45:00,0.875,2.125
16:50:00,0.625,2.25
16:55:00,0.5,2.5
17:00:00,1.5,2.375
17:05:00,1.125,2.25
17:10:00,0.375,2
17:15:00,0,1.875
17:20:00,0.125,1.625
17:25:00,0.125,1.625
17:30:00,0.25,1.625
17:35:00,0.25,1.75
17:40:00,0.625,2
17:45:00,0.375,2.125
17:50:00,0.25,2.25
17:55:00,0.5,2.5
18:00:00,0.875,2.25
18:05:00,0.75,1.75
18:10:00,0.25,1.375
18:15:00,0,1.375
18:20:00,0.5,1.5
18:25:00,0.5,1.5
18:30:00,0.5,1.625
18:35:00,0.625,1.625
18:40:00,0.5,1.5
18:45:00,0.625,1.75
18:50:00,0.875,1.875
18:55:00,0.875,1.875
19:00:00,1.125,2
19:05:00,1.25,2.125
19:10:00,0.875,1.875
19:15:00,0.125,1.875
19:20:00,0.125,2
19:25:00,0.25,1.875
19:30:00,0.25,1.875
19:35:00,0.625,2.125
19:40:00,0.625,2.125
19:45:00,1,2.125
19:50:00,0.875,2
19:55:00,0.75,2.125
20:00:00,1.25,2.125
20:05:00,1.25,2.125
20:10:00,0.875,1.875
20:15:00,0.375,1.875
20:20:00,0.5,2
20:25:00,0.375,2
20:30:00,0.375,2.25
20:35:00,0.375,2.125
20:40:00,0.375,2.125
20:45:00,0.625,2.25
20:50:00,0.75,2.25
20:55:00,0.75,2.125
21:00:00,1.375,2.125
21:05:00,1.25,2
21:10:00,1.25,1.625
21:15:00,0.875,1.75
21:20:00,0.75,1.625
21:25:00,0.875,1.625
21:30:00,0.75,1.5
21:35:00,0.625,1.625
21:40:00,0.625,1.75
21:45:00,0.75,2
21:50:00,0.75,2.25
21:55:00,0.75,2.25
22:00:00,1.25,2
22:05:00,1.125,1.875
22:10:00,1,1.75
22:15:00,1,1.625
22:20:00,1.125,1.625
22:25:00,1.125,1.75
22:30:00,1,2
22:35:00,1.125,2
22:40:00,1.25,2.125
22:45:00,1.625,2.25
22:50:00,1.625,2.25
22:55:00,1.5,2.375
23:00:00,2,2.5
23:05:00,1.875,2.25
23:10:00,1.75,2
23:15:00,2.25,2
23:20:00,2.25,2
23:25:00,2.125,2
23:30:00,2.375,2.125
23:35:00,2.5,2
23:40:00,2.625,2
23:45:00,2.625,2
23:50:00,2.5,2.25
23:55:00,2.625,2.25
00:00:00,2.4285714285714284,1.8571428571428572
00:05:00,2.2857142857142856,1.8571428571428572
00:25:00,2.5,2.5
00:30:00,2.4285714285714284,2.7142857142857144
00:35:00,2.4285714285714284,2.7142857142857144
00:40:00,2.7142857142857144,2.7142857142857144
00:45:00,3.2857142857142856,2.7142857142857144
00:50:00,3.4285714285714284,2.5714285714285716
01:25:00,3.2857142857142856,2.5714285714285716
02:20:00,3.7142857142857144,3
03:05:00,4,2.857142857142857
03:25:00,4,2.857142857142857
03:35:00,4,2.857142857142857
03:45:00,4,2.857142857142857
04:00:00,4,3
04:10:00,4,3
16:30:00,0.7142857142857143,2
16:35:00,0.8571428571428571,2.142857142857143
